source_row,record_date,voyage_id,recipient_username,revenue_florins,salary_florins,catch_summary
890,2023-09-08,465,SpedSantz,12144,10390,"8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 12 American Lobster at 1x."
891,2023-09-08,465,thecoolguyisco,13128,11275,"14 Mantis Shrimp at 1x, 14 Mantis Shrimp at 1x, 14 Mantis Shrimp at 1x, 12 American Lobster at 1x."
892,2023-09-09,466,JamesBond007F,18576,15908,"8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x."
893,2023-09-09,466,lukas06yt,13392,11243,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x."
894,2023-09-08,462,SpedSantz,18480,15957,"16 Mantis Shrimp at 1x, 16 Mantis Shrimp at 1x, 16 Mantis Shrimp at 1x, 18 Mantis Shrimp at 1x, 18 Mantis Shrimp at 1x."
895,2023-09-08,462,eprstbebra,15669,13292,"15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
896,2023-09-09,467,eprstbebra,10420,8838,"8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 10 Giant Hermit Crab at 1,25x."
897,2023-09-09,467,JamesBond007F,16094,13944,"17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x, 10 Giant Hermit Crab at 1,25x."
898,2023-09-09,467,lukas06yt,10420,8838,"8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 10 Giant Hermit Crab at 1,25x."
899,2023-09-09,468,eprstbebra,15960,13824,"10 Giant Hermit Crab at 1,25x, 10 Giant Hermit Crab at 1,25x, 10 Giant Hermit Crab at 1,25x, 12 Common Blue Crab at 1,25x."
900,2023-09-09,468,JamesBond007F,9180,7722,"8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x."
901,2023-09-09,468,lukas06yt,14854,12828,"17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x, 12 Common Blue Crab at 1,25x."
902,2023-09-09,469,eprstbebra,13837,11913,"11 American Lobster at 1x, 11 American Lobster at 1x, 11 American Lobster at 1x, 17 Pistol Shrimp at 1x."
903,2023-09-09,469,JamesBond007F,15781,13663,"13 American Lobster at 1x, 13 American Lobster at 1x, 13 American Lobster at 1x, 17 Pistol Shrimp at 1x."
904,2023-09-09,469,lukas06yt,11470,9783,"15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 17 Pistol Shrimp at 1x."
905,2023-09-09,470,eprstbebra,9028,7585,"9 Common Blue Crab at 1x, 9 Common Blue Crab at 1x, 9 Common Blue Crab at 1x, 16 Mantis Shrimp at 1x."
906,2023-09-09,470,JamesBond007F,10864,9238,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 16 Mantis Shrimp at 1x."
907,2023-09-09,470,lukas06yt,10180,8622,"12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x, 16 Mantis Shrimp at 1x."
908,2023-09-09,471,JamesBond007F,10692,9218,"11 American Lobster at 1x, 11 American Lobster at 1x, 11 American Lobster at 1x."
909,2023-09-09,471,eprstbebra,9900,8505,"15 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x."
910,2023-09-09,471,rzeczka114,18504,15844,"14 American Lobster at 1x, 14 American Lobster at 1x, 14 American Lobster at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x."
911,2023-09-09,472,JamesBond007F,20025,17213,"15 Mantis Shrimp at 1,25x, 15 Mantis Shrimp at 1,25x, 15 Mantis Shrimp at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x."
912,2023-09-09,472,cHeadq,17363,14816,"14 Pistol Shrimp at 1,25x, 14 Pistol Shrimp at 1,25x, 14 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x."
913,2023-09-09,473,Volorikats,14130,12177,"12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x."
914,2023-09-09,473,stoomboo,11794,10209,"17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x."
915,2023-09-09,473,lukas06yt,17850,15525,"10 Giant Hermit Crab at 1,25x, 10 Giant Hermit Crab at 1,25x, 10 Giant Hermit Crab at 1,25x, 18 Mantis Shrimp at 1,25x."
916,2023-09-09,474,JamesBond007F,28215,24584,"18 Mantis Shrimp at 1,25x, 18 Mantis Shrimp at 1,25x, 18 Mantis Shrimp at 1,25x, 11 American Lobster at 1,25x, 11 American Lobster at 1,25x, 11 American Lobster at 1,25x."
917,2023-09-09,474,cHeadq,23738,20554,"14 Pistol Shrimp at 1,25x, 14 Pistol Shrimp at 1,25x, 14 Pistol Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
918,2023-09-09,475,eprstbebra,11628,9655,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x."
919,2023-09-09,475,Allomnoi,19116,16394,"12 Giant Hermit Crab at 1x, 12 Giant Hermit Crab at 1x, 12 Giant Hermit Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x."
920,2023-09-09,477,Volorikats,14445,12191,"15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x."
921,2023-09-09,477,eprstbebra,24300,21060,"15 American Lobster at 1x, 15 American Lobster at 1x, 15 American Lobster at 1x, 10 American Lobster at 1x, 10 American Lobster at 1x, 10 American Lobster at 1x."
